url,title,company,categories,raw_phrases,location_raw,location_cities,location_regions,location_countries,location_type,location_is_remote,applicant_location_requirements,location_sources
https://web3.career/0x-growth-lead-apac-0x/125025,"Web3 0x Growth Lead, APAC $150k - $200k in San Francisco",0x,,,"San Francisco, CA, United States","San Francisco, CA, United States",CA,United States,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/2025-software-engineer-intern-fall-whatnot/104621,Web3 2025 Software Engineer Intern (Fall) $54k - $100k Remote,Whatnot,Computer Science / Software Engineering; Other / Unspecified,computer science or other related major graduating in dec 2025 or by summer 2026 problem solver and out of the box thinker willing to take risks and build product and systems for 1m; computer science or other related major graduating in dec 2025 or by summer 2026 problem solver and out of the box thinker willing to take risks and build product and systems for 1m; computer science or other related major graduating in dec 2025 or by summer 2026 problem solver and out of the box thinker willing to take risks and build product and systems for 1m; the us; the us; the us,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2026-graduate-software-developer-dv-commodities-dvtrading/107626,"Web3 2026 Graduate Software Developer, DV Commodities $94k - $96k Remote",Dvtrading,Computer Science / Software Engineering,computer science; computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2026-graduate-trader-dv-commodities-dvtrading/107627,"Web3 2026 Graduate Trader, DV Commodities $32k - $60k Remote",Dvtrading,,,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2026-summer-internship-risk-management-dvtrading/112029,Web3 2026 Summer Internship - Risk Management $32k - $60k Remote,Dvtrading,Computer Science / Software Engineering,mathematics; mathematics; mathematics,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2026-summer-internship-software-development-dv-commodities-dvtrading/107628,"Web3 2026 Summer Internship - Software Development, DV Commodities $45k - $92k Remote",Dvtrading,Computer Science / Software Engineering,computer science; computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2026-summer-internship-trading-dv-commodities-dvtrading/107629,"Web3 2026 Summer Internship - Trading, DV Commodities $32k - $60k Remote",Dvtrading,,,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/21shares-senior-software-engineer-21shares/133012,Web3 21Shares Senior Software Engineer $87k - $87k Remote,21shares,Computer Science / Software Engineering,computer engineering; computer engineering; computer engineering,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/2d-2d-artist-japan-limitbreak/108202,Web3 2D アーティスト - 2D Artist (Japan) in Tokyo,Limit Break,,,"Tokyo, Japan","Tokyo, Japan",,Japan,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/3d-character-creature-artist-remote-revenue-share-3metad/103643,Web3 3D Character Creature Artist - Remote - Revenue Share $54k - $95k,3METAD,Design / UX,game design; game design; game design,"San Jose, CA, United States","San Jose, CA, United States",CA,United States,TELECOMMUTE,true,Anywhere,jsonld
